region,week_start_date,year,percent_change,percent_diff,week_biggest_change_mobility,weekly_avg_new_cases,sah_start_date,sah_day_of_week,mobility_lockdown_lag_wk_difftime
Texas,2020-03-19,2020,-33.19047619047619,-23.142857142857142,2020-03-19,150.1,2020-04-02,5,2
Texas,2020-03-26,2020,-41.476190476190474,-8.285714285714285,2020-03-19,325,2020-04-02,5,2
Texas,2020-04-02,2020,-44.666666666666664,-3.19047619047619,2020-03-19,571.9,2020-04-02,5,2
Vermont,2020-03-17,2020,-37.142857142857146,-31.380952380952383,2020-03-17,9,2020-03-24,3,1
Vermont,2020-03-24,2020,-50.95238095238095,-13.809523809523803,2020-03-17,25.9,2020-03-24,3,1
Virginia,2020-03-16,2020,-28.476190476190474,-26.142857142857142,2020-03-16,26.1,2020-03-30,2,2
Virginia,2020-03-23,2020,-41.476190476190474,-13,2020-03-16,95.7,2020-03-30,2,2
Virginia,2020-03-30,2020,-45.095238095238095,-3.6190476190476204,2020-03-16,250,2020-03-30,2,2
Washington,2020-03-17,2020,-36.95238095238095,-22.57142857142857,2020-03-17,206,2020-03-24,3,1
Washington,2020-03-24,2020,-51.476190476190474,-14.523809523809526,2020-03-17,386,2020-03-24,3,1
West Virginia,2020-03-17,2020,-21.285714285714285,-24,2020-03-17,2.3,2020-03-24,3,1
West Virginia,2020-03-24,2020,-35.714285714285715,-14.42857142857143,2020-03-17,18.4,2020-03-24,3,1
Wisconsin,2020-03-18,2020,-34.333333333333336,-30.190476190476193,2020-03-18,58.3,2020-03-25,4,1
Wisconsin,2020-03-25,2020,-44.04761904761905,-9.714285714285715,2020-03-18,133,2020-03-25,4,1
